n,minSwapSolverflowtime,openSwapSolverflowtime,meanSwapSolverflowtime,closedSwapSolverflowtime,maxSwapSolverflowtime,minDistributedSwapSolverflowtime,openDistributedSwapSolverflowtime,meanDistributedSwapSolverflowtime,closedDistributedSwapSolverflowtime,maxDistributedSwapSolverflowtime,minLpSolverflowtime,openLpSolverflowtime,meanLpSolverflowtime,closedLpSolverflowtime,maxLpSolverflowtime,minSwapSolverTime,openSwapSolverTime,meanSwapSolverTime,closedswapSolverTime,maxSwapSolverTime,minDistributedSwapSolverTime,openDistributedSwapSolverTime,meanDistributedSwapSolverTime,closedDistributedSwapSolverTime,maxDistributedSwapSolverTime,minLpSolverTime,openLpSolverTime,meanLpSolverTime,closedLpSolverTime,maxLpSolverTime,swap4swap,nbPropose4swap,nbCounterPropose4swap,nbAccept4swap,nbReject4swap,nbWithdraw4swap,nbConfirmGift4swap,nbConfirmSwap4swap,nbInform4swap
70,3770.0,4436.0,4760.0,5053.0,5657.0,30705.0,32065.0,34990.0,36074.0,41202.0,1356.0,1489.0,1584.0,1635.0,1799.0,1.82910086E8,2.00719509E8,2.05395418E8,2.13301745E8,2.221938E8,2.39358492E8,3.22440644E8,3.52990669E8,3.8277995E8,4.5615853E8,1.0585636E7,1.2186064E7,1.5270687E7,1.7510833E7,2.2367899E7,56.5,2826.8,0.0,0.0,2826.8,0.0,0.0,0.0,0.0
72,4066.0,4529.0,4860.0,5126.0,5939.0,33129.0,33836.0,35657.0,38537.0,40175.0,1367.0,1564.0,1627.0,1715.0,1835.0,2.03304052E8,2.12535305E8,2.25687189E8,2.34885332E8,2.56619151E8,2.71115079E8,3.47612377E8,3.75225332E8,3.7824786E8,4.57305593E8,8472703.0,1.1972228E7,1.3656815E7,1.6222723E7,2.4680218E7,58.2,2986.9,0.0,0.0,2986.9,0.0,0.0,0.0,0.0
74,4309.0,4599.0,4846.0,5218.0,6357.0,33575.0,36955.0,38404.0,39720.0,43522.0,1374.0,1481.0,1566.0,1665.0,1839.0,2.32626969E8,2.36568609E8,2.43684197E8,2.54541769E8,2.81363414E8,2.74581735E8,3.53223141E8,3.90751595E8,4.15041326E8,4.92623902E8,1.2973013E7,1.4311755E7,1.6189664E7,1.9716504E7,2.5312456E7,60.1,3237.8,0.0,0.0,3237.8,0.0,0.0,0.0,0.0
76,4321.0,4827.0,5158.0,5523.0,6557.0,34416.0,36327.0,36962.0,39975.0,41411.0,1328.0,1461.0,1551.0,1751.0,1894.0,2.43502431E8,2.67618113E8,2.77028282E8,2.88338732E8,3.04154146E8,2.5456746E8,3.20444728E8,3.55075343E8,3.91850318E8,5.01484255E8,1.4874853E7,1.8007598E7,1.9482657E7,2.2554794E7,2.9361302E7,62.85,3233.1,0.0,0.0,3233.1,0.0,0.0,0.0,0.0
78,4157.0,4667.0,4964.0,5221.0,5836.0,36238.0,39091.0,40417.0,41198.0,44228.0,1253.0,1451.0,1520.0,1638.0,1871.0,2.62435648E8,2.85914498E8,2.91093674E8,3.13474456E8,3.58630098E8,2.99621744E8,3.56613646E8,3.85241403E8,4.31856213E8,4.95520782E8,1.4268835E7,1.7250109E7,1.8770295E7,2.2507897E7,3.1747225E7,63.7,3563.85,0.0,0.0,3563.85,0.0,0.0,0.0,0.0
80,3877.0,4759.0,5190.0,5365.0,5777.0,35319.0,37287.0,40367.0,42443.0,43786.0,1412.0,1481.0,1580.0,1665.0,1831.0,2.9069319E8,3.02246067E8,3.07413858E8,3.13061102E8,3.20669283E8,2.76929319E8,3.46945908E8,3.84484883E8,4.29035352E8,4.90975381E8,1.2679339E7,1.9052919E7,2.2591408E7,2.4824838E7,4.2704259E7,65.3,3611.25,0.0,0.0,3611.25,0.0,0.0,0.0,0.0
82,4081.0,4648.0,4845.0,5507.0,6099.0,37005.0,38839.0,40528.0,42094.0,47012.0,1213.0,1475.0,1597.0,1661.0,1953.0,3.26817608E8,3.31367223E8,3.42202253E8,3.52648083E8,3.8341539E8,2.98073244E8,3.64483948E8,4.13421696E8,4.35607017E8,4.64659368E8,1.6763057E7,2.0385513E7,2.3290612E7,2.5603133E7,3.4485155E7,70.75,3762.6,0.0,0.0,3762.6,0.0,0.0,0.0,0.0
84,4662.0,5044.0,5232.0,5435.0,6163.0,37878.0,41146.0,42194.0,43388.0,45391.0,1247.0,1454.0,1556.0,1641.0,1692.0,3.35045333E8,3.4319773E8,3.563557E8,3.70901549E8,4.40238448E8,2.77942857E8,3.37899068E8,3.94748477E8,4.29389634E8,5.28726172E8,1.5205967E7,2.0400565E7,2.2452904E7,2.7413627E7,3.7537484E7,69.95,3921.8,0.0,0.0,3921.8,0.0,0.0,0.0,0.0
86,4315.0,4721.0,5093.0,5448.0,6411.0,39534.0,41300.0,42728.0,43994.0,46753.0,1326.0,1475.0,1557.0,1675.0,1860.0,3.50890092E8,3.74865914E8,3.88156577E8,4.12645086E8,4.35053598E8,3.23608839E8,3.58656015E8,3.8226162E8,4.12296357E8,4.66534409E8,2.0979003E7,2.4214727E7,2.6825566E7,2.9702312E7,3.4980269E7,72.5,4059.3,0.0,0.0,4059.3,0.0,0.0,0.0,0.0
88,4162.0,4914.0,5265.0,5932.0,6673.0,37533.0,40660.0,42794.0,45353.0,46112.0,1424.0,1520.0,1583.0,1684.0,1771.0,3.89740307E8,4.05029535E8,4.17553468E8,4.27847682E8,4.74379356E8,3.24714896E8,3.60784646E8,4.09326937E8,4.52123509E8,4.7524075E8,2.3568813E7,2.6502289E7,2.8949088E7,3.1335834E7,4.3833468E7,74.3,4178.5,0.0,0.0,4178.5,0.0,0.0,0.0,0.0
